query_number,vkm_count,skm_count,qm_count,cn_count
Query 0,9,3,17,11
Query 1,3,2,3,3
Query 2,21,0,55,6
Query 3,37,0,177,37
Query 4,2,1,2,1
Query 5,2,1,2,1
Query 6,13,1,44,5
Query 7,31,2,497,82
Query 8,7,3,12,13
Query 9,16,0,27,12
Query 10,15,0,21,9
Query 11,16,0,29,11
Query 12,32,0,169,19
Query 13,6,1,9,3
Query 14,20,1,66,7
Query 15,34,0,182,31
Query 16,10,0,9,4
Query 17,13,0,18,8
Query 18,11,1,34,14
Query 19,11,0,10,4
Query 20,19,3,177,45
Query 21,3,1,3,1
Query 22,25,1,213,21
Query 23,24,1,154,7
Query 24,11,2,12,12
Query 25,14,1,33,7
Query 26,7,1,14,7
Query 27,18,1,31,13
